{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:13:22              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:13:32              
{INFO }  com.carlot.Driver                         Number is invalid                                   01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                           Invalid menu option.Please try again!             01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:13:33              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:18:07              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:18:09              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:18:12              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:18:13              
{INFO }  com.carlot.Driver                         Invalid date format                                 01-Feb-2021 Monday CST 21:18:14              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:18:14              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:18:16              
{INFO }  com.carlot.Driver                         Number is invalid                                   01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                           Invalid menu option.Please try again!             01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:18:18              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:18:30              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:18:59              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:19:00              
{INFO }  com.carlot.Driver                         Invalid date format                                 01-Feb-2021 Monday CST 21:19:01              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:19:01              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:19:02              
{INFO }  com.carlot.Driver                         Number is invalid                                   01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                           Invalid menu option.Please try again!             01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:19:04              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:19:41              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:19:44              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:19:46              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:19:47              
{INFO }  com.carlot.Driver                         Invalid date format                                 01-Feb-2021 Monday CST 21:19:49              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:19:49              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:19:52              
{INFO }  com.carlot.Driver                         Number is invalid                                   01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:19:54              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:20:00              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:20:39              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:20:42              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:20:45              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:20:46              
{INFO }  com.carlot.Driver                         Invalid date format                                 01-Feb-2021 Monday CST 21:20:47              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:20:47              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:20:49              
{INFO }  com.carlot.Driver                         Number is invalid                                   01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:20:51              
